first_name,last_name,full_name,nationality,player_url,2017-2018_team,2017-2018_avg_min,2018-2019_team,2018-2019_avg_min,2021-2022_team,2021-2022_avg_min,2022-2023_team,2022-2023_avg_min,2023-2024_team,2023-2024_avg_min,2024-2025_team,2024-2025_avg_min
Pietro,CECCARELLI,Pietro Ceccarelli,France,https://top14.lnr.fr/joueur/398-pietro-ceccarelli,Oyonnax Rugby,24.1,,,CA Brive,39.8,,,USA Perpignan,46.3,USA Perpignan,29.3
Enzo,HERVE,Enzo Herve,France,https://top14.lnr.fr/joueur/427-enzo-herve,CA Brive,65.0,,,CA Brive,61.5,CA Brive,41.5,RC Toulon,52.9,RC Toulon,39.6
Setariki,TUICUVU,Setariki Tuicuvu,Fidji,https://top14.lnr.fr/joueur/429-setariki-tuicuvu,ASM Clermont,47.3,ASM Clermont,67.9,CA Brive,72.2,,,RC Toulon,62.8,RC Toulon,55.1
Esteban,ABADIE,Esteban Abadie,France,https://top14.lnr.fr/joueur/431-esteban-abadie,Racing 92,13.0,,,CA Brive,61.3,,,RC Toulon,76.9,RC Toulon,77.0
Giorgi,BERIA,Giorgi Beria,France,https://top14.lnr.fr/joueur/662-giorgi-beria,,,ASM Clermont,17.5,ASM Clermont,36.5,ASM Clermont,37.5,ASM Clermont,43.4,USA Perpignan,51.7
Jacobus,VAN TONDER,Jacobus Van Tonder,Afrique du Sud,https://top14.lnr.fr/joueur/693-jacobus-van-tonder,ASM Clermont,25.0,ASM Clermont,36.5,ASM Clermont,51.8,ASM Clermont,63.3,USA Perpignan,51.1,USA Perpignan,59.9
Jefferson Lee,JOSEPH,Jefferson Lee Joseph,France,https://top14.lnr.fr/joueur/92-jefferson-lee-joseph,,,,,,,,,,,USA Perpignan,69.7
Tommaso,ALLAN,Tommaso Allan,Italie,https://top14.lnr.fr/joueur/9603-tommaso-allan,,,,,,,,,USA Perpignan,73.0,USA Perpignan,69.5
Quentin,LESPIAUCQ,Quentin Lespiaucq,France,https://top14.lnr.fr/joueur/986-quentin-lespiaucq,Section Paloise,55.0,Section Paloise,54.8,Section Paloise,32.1,Stade Rochelais,43.3,Stade Rochelais,48.3,Stade Rochelais,37.7
Antoine,HASTOY,Antoine Hastoy,France,https://top14.lnr.fr/joueur/997-antoine-hastoy,Section Paloise,19.6,Section Paloise,43.0,Section Paloise,72.2,,,Stade Rochelais,71.3,Stade Rochelais,63.7
