first_name,last_name,full_name,nationality,player_url,2017-2018_team,2017-2018_avg_min,2018-2019_team,2018-2019_avg_min,2021-2022_team,2021-2022_avg_min,2022-2023_team,2022-2023_avg_min,2023-2024_team,2023-2024_avg_min,2024-2025_team,2024-2025_avg_min
Maxime,BAUDONNE,Maxime Baudonne,France,https://top14.lnr.fr/joueur/2197-maxime-baudonne,,,,,Racing 92,33.8,Racing 92,43.1,Racing 92,48.0,Racing 92,60.4
Max,SPRING,Max Spring,France,https://top14.lnr.fr/joueur/2198-max-spring,,,,,Racing 92,76.0,Racing 92,69.5,Racing 92,63.5,Racing 92,67.4
Cornell Gerhard,DU PREEZ,Cornell Gerhard Du Preez,Grande-Bretagne,https://top14.lnr.fr/joueur/2281-cornell-gerhard-du-preez,,,,,RC Toulon,54.7,RC Toulon,68.2,RC Toulon,62.2,,
Kieran,BROOKES,Kieran Brookes,Grande-Bretagne,https://top14.lnr.fr/joueur/2282-kieran-brookes,,,,,RC Toulon,43.3,RC Toulon,38.1,RC Toulon,31.9,USA Perpignan,54.3
Gaël,DREAN,Gaël Drean,France,https://top14.lnr.fr/joueur/2300-gael-drean,,,,,,,RC Toulon,69.6,RC Toulon,79.4,RC Toulon,78.5
Aymeric,LUC,Aymeric Luc,France,https://top14.lnr.fr/joueur/2336-aymeric-luc,,,,,RC Toulon,70.1,RC Toulon,72.5,RC Toulon,83.5,Section Paloise,77.6
Mathieu,TANGUY,Mathieu Tanguy,France,https://top14.lnr.fr/joueur/2342-mathieu-tanguy,Stade Rochelais,51.6,Stade Rochelais,47.1,Stade Rochelais,32.6,RC Toulon,38.8,,,USA Perpignan,48.6
Baptiste,SERIN,Baptiste Serin,France,https://top14.lnr.fr/joueur/2352-baptiste-serin,Union Bordeaux-Bègles,57.8,Union Bordeaux-Bègles,59.1,RC Toulon,65.5,RC Toulon,55.9,RC Toulon,56.6,RC Toulon,58.2
Christopher,TOLOFUA,Christopher Tolofua,France,https://top14.lnr.fr/joueur/2354-christopher-tolofua,,,,,RC Toulon,55.5,,,,,Montpellier Hérault Rugby,35.8
Charles,OLLIVON,Charles Ollivon,France,https://top14.lnr.fr/joueur/2355-charles-ollivon,,,RC Toulon,76.3,RC Toulon,64.2,RC Toulon,74.8,RC Toulon,72.0,RC Toulon,64.8
Jean Baptiste,GROS,Jean Baptiste Gros,France,https://top14.lnr.fr/joueur/2358-jean-baptiste-gros,RC Toulon,25.0,RC Toulon,41.6,RC Toulon,54.0,RC Toulon,43.1,RC Toulon,43.8,RC Toulon,48.4
Gabin,VILLIERE,Gabin Villiere,France,https://top14.lnr.fr/joueur/2360-gabin-villiere,,,,,RC Toulon,80.0,,,RC Toulon,81.4,RC Toulon,70.7
Beka,GIGASHVILI,Beka Gigashvili,Géorgie,https://top14.lnr.fr/joueur/2362-beka-gigashvili,,,FC Grenoble Rugby,36.8,RC Toulon,61.6,RC Toulon,51.6,RC Toulon,56.5,RC Toulon,53.1
Teddy,BAUBIGNY,Teddy Baubigny,France,https://top14.lnr.fr/joueur/2373-teddy-baubigny,Racing 92,16.6,Racing 92,30.3,Racing 92,40.1,RC Toulon,46.4,RC Toulon,57.6,RC Toulon,47.8
Matthias,HALAGAHU,Matthias Halagahu,France,https://top14.lnr.fr/joueur/2384-matthias-halagahu,,,,,RC Toulon,31.0,,,RC Toulon,42.4,RC Toulon,54.0
Duncan,PAIA'AUA,Duncan Paia'aua,Australie,https://top14.lnr.fr/joueur/2385-duncan-paiaaua,,,,,RC Toulon,74.3,RC Toulon,74.4,RC Toulon,74.2,RC Toulon,63.6
Adrien,WARION,Adrien Warion,France,https://top14.lnr.fr/joueur/2388-adrien-warion,,,,,RC Toulon,19.5,RC Toulon,18.7,RC Toulon,32.2,USA Perpignan,62.2
