match_id,home_tries,away_tries,home_conversions,away_conversions,home_possession_pct,away_possession_pct,home_possession_own_half_pct,away_possession_own_half_pct,home_possession_opp_half_pct,away_possession_opp_half_pct,home_possession_opp_22m_pct,away_possession_opp_22m_pct,home_territory_pct,away_territory_pct,home_tackles_made,away_tackles_made,home_tackles_missed,away_tackles_missed,home_line_breaks,away_line_breaks,home_offloads,away_offloads,home_passes,away_passes,home_kicks,away_kicks,home_knockons,away_knockons,home_lineouts_won,away_lineouts_won,home_lineouts_won_opp,away_lineouts_won_opp,home_scrums_won,away_scrums_won,home_ballons_grattes,away_ballons_grattes,home_penalties_conceded,away_penalties_conceded,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
10991,6,2,5,2,58,42,24,18,34,24,15,8,62,38,89,78,12,15,8,3,6,4,145,132,18,22,8,12,14,11,3,1,8,6,5,2,12,18,1,0,0,0
10992,5,3,4,2,52,48,22,20,30,28,12,10,55,45,95,88,10,12,7,5,8,6,152,138,15,20,6,10,12,13,2,3,9,7,4,3,15,14,0,1,0,0
