season,round,match_id,venue,home_team,away_team,url,is_playoff
2017-2018,17,8221,Stade Armandie,SU Agen,Stade Toulousain,https://top14.lnr.fr/feuille-de-match/2017-2018/j17/8221-agen-toulouse,0
2017-2018,17,8222,Stade de Gerland,LOU Rugby,ASM Clermont,https://top14.lnr.fr/feuille-de-match/2017-2018/j17/8222-lyon-clermont,0
2017-2018,17,8223,Stade Chaban-Delmas,Union Bordeaux-Bègles,Castres Olympique,https://top14.lnr.fr/feuille-de-match/2017-2018/j17/8223-bordeaux-begles-castres,0
2017-2018,17,8224,Paris La Défense Arena,Racing 92,Stade Rochelais,https://top14.lnr.fr/feuille-de-match/2017-2018/j17/8224-racing-92-la-rochelle,0
2017-2018,18,8225,GGL Stadium,Montpellier Hérault Rugby,Union Bordeaux-Bègles,https://top14.lnr.fr/feuille-de-match/2017-2018/j18/8225-montpellier-bordeaux-begles,0
2017-2018,18,8226,Stade Marcel-Michelin,ASM Clermont,Oyonnax Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j18/8226-clermont-oyonnax,0
2017-2018,18,8227,Stade Pierre-Fabre,Castres Olympique,LOU Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j18/8227-castres-lyon,0
2017-2018,18,8228,Stade Jean-Bouin,Stade Français Paris,SU Agen,https://top14.lnr.fr/feuille-de-match/2017-2018/j18/8228-paris-agen,0
2017-2018,18,8229,Stade du Hameau,Section Paloise,Racing 92,https://top14.lnr.fr/feuille-de-match/2017-2018/j18/8229-pau-racing-92,0
2017-2018,18,8230,Stade Ernest-Wallon,Stade Toulousain,CA Brive,https://top14.lnr.fr/feuille-de-match/2017-2018/j18/8230-toulouse-brive,0
2017-2018,18,8231,Stade Marcel-Deflandre,Stade Rochelais,RC Toulon,https://top14.lnr.fr/feuille-de-match/2017-2018/j18/8231-la-rochelle-toulon,0
2017-2018,19,8232,Stade de Gerland,LOU Rugby,RC Toulon,https://top14.lnr.fr/feuille-de-match/2017-2018/j19/8232-lyon-toulon,0
2017-2018,19,8233,Stade Pierre-Fabre,Castres Olympique,Section Paloise,https://top14.lnr.fr/feuille-de-match/2017-2018/j19/8233-castres-pau,0
2017-2018,19,8234,Paris La Défense Arena,Racing 92,CA Brive,https://top14.lnr.fr/feuille-de-match/2017-2018/j19/8234-racing-92-brive,0
2017-2018,19,8235,Stade Armandie,SU Agen,Montpellier Hérault Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j19/8235-agen-montpellier,0
2017-2018,19,8236,Stade Chaban-Delmas,Union Bordeaux-Bègles,Stade Toulousain,https://top14.lnr.fr/feuille-de-match/2017-2018/j19/8236-bordeaux-begles-toulouse,0
2017-2018,19,8237,Stade Charles-Mathon,Oyonnax Rugby,Stade Français Paris,https://top14.lnr.fr/feuille-de-match/2017-2018/j19/8237-oyonnax-paris,0
2017-2018,19,8238,Stade Marcel-Michelin,ASM Clermont,Stade Rochelais,https://top14.lnr.fr/feuille-de-match/2017-2018/j19/8238-clermont-la-rochelle,0
2017-2018,20,8239,GGL Stadium,Montpellier Hérault Rugby,Racing 92,https://top14.lnr.fr/feuille-de-match/2017-2018/j20/8239-montpellier-racing-92,0
2017-2018,20,8240,Stade Mayol,RC Toulon,SU Agen,https://top14.lnr.fr/feuille-de-match/2017-2018/j20/8240-toulon-agen,0
2017-2018,20,8241,Stade du Hameau,Section Paloise,Stade Rochelais,https://top14.lnr.fr/feuille-de-match/2017-2018/j20/8241-pau-la-rochelle,0
2017-2018,20,8242,Stade Chaban-Delmas,Union Bordeaux-Bègles,Oyonnax Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j20/8242-bordeaux-begles-oyonnax,0
2017-2018,20,8243,Stade Amédée-Domenech,CA Brive,ASM Clermont,https://top14.lnr.fr/feuille-de-match/2017-2018/j20/8243-brive-clermont,0
2017-2018,20,8244,Stade Jean-Bouin,Stade Français Paris,Castres Olympique,https://top14.lnr.fr/feuille-de-match/2017-2018/j20/8244-paris-castres,0
2017-2018,20,8245,Stade Ernest-Wallon,Stade Toulousain,LOU Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j20/8245-toulouse-lyon,0
2017-2018,21,8246,Paris La Défense Arena,Racing 92,Stade Français Paris,https://top14.lnr.fr/feuille-de-match/2017-2018/j21/8246-racing-92-paris,0
2017-2018,21,8247,Stade Charles-Mathon,Oyonnax Rugby,RC Toulon,https://top14.lnr.fr/feuille-de-match/2017-2018/j21/8247-oyonnax-toulon,0
2017-2018,21,8248,Stade Marcel-Deflandre,Stade Rochelais,LOU Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j21/8248-la-rochelle-lyon,0
2017-2018,21,8249,Stade Armandie,SU Agen,Union Bordeaux-Bègles,https://top14.lnr.fr/feuille-de-match/2017-2018/j21/8249-agen-bordeaux-begles,0
2017-2018,21,8250,Stade Marcel-Michelin,ASM Clermont,Section Paloise,https://top14.lnr.fr/feuille-de-match/2017-2018/j21/8250-clermont-pau,0
