season,round,match_id,venue,home_team,away_team,url,is_playoff
2017-2018,24,8269,Stade Charles-Mathon,Oyonnax Rugby,CA Brive,https://top14.lnr.fr/feuille-de-match/2017-2018/j24/8269-oyonnax-brive,0
2017-2018,24,8270,Stade du Hameau,Section Paloise,SU Agen,https://top14.lnr.fr/feuille-de-match/2017-2018/j24/8270-pau-agen,0
2017-2018,24,8271,Stade de Gerland,LOU Rugby,Stade Français Paris,https://top14.lnr.fr/feuille-de-match/2017-2018/j24/8271-lyon-paris,0
2017-2018,24,8272,Stade Marcel-Deflandre,Stade Rochelais,Castres Olympique,https://top14.lnr.fr/feuille-de-match/2017-2018/j24/8272-la-rochelle-castres,0
2017-2018,24,8273,Stade Ernest-Wallon,Stade Toulousain,Racing 92,https://top14.lnr.fr/feuille-de-match/2017-2018/j24/8273-toulouse-racing-92,0
2017-2018,25,8274,Stade Mayol,RC Toulon,Castres Olympique,https://top14.lnr.fr/feuille-de-match/2017-2018/j25/8274-toulon-castres,0
2017-2018,25,8275,GGL Stadium,Montpellier Hérault Rugby,Section Paloise,https://top14.lnr.fr/feuille-de-match/2017-2018/j25/8275-montpellier-pau,0
2017-2018,25,8276,Stade Charles-Mathon,Oyonnax Rugby,LOU Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j25/8276-oyonnax-lyon,0
2017-2018,25,8277,Stade Jean-Bouin,Stade Français Paris,CA Brive,https://top14.lnr.fr/feuille-de-match/2017-2018/j25/8277-paris-brive,0
2017-2018,25,8278,Stade Armandie,SU Agen,ASM Clermont,https://top14.lnr.fr/feuille-de-match/2017-2018/j25/8278-agen-clermont,0
2017-2018,25,8279,Stade Chaban-Delmas,Union Bordeaux-Bègles,Racing 92,https://top14.lnr.fr/feuille-de-match/2017-2018/j25/8279-bordeaux-begles-racing-92,0
2017-2018,25,8280,Stade Ernest-Wallon,Stade Toulousain,Stade Rochelais,https://top14.lnr.fr/feuille-de-match/2017-2018/j25/8280-toulouse-la-rochelle,0
2017-2018,26,8281,Stade Marcel-Michelin,ASM Clermont,Stade Toulousain,https://top14.lnr.fr/feuille-de-match/2017-2018/j26/8281-clermont-toulouse,0
2017-2018,26,8282,Stade Amédée-Domenech,CA Brive,Union Bordeaux-Bègles,https://top14.lnr.fr/feuille-de-match/2017-2018/j26/8282-brive-bordeaux-begles,0
2017-2018,26,8283,Stade Pierre-Fabre,Castres Olympique,Oyonnax Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j26/8283-castres-oyonnax,0
2017-2018,26,8284,Stade de Gerland,LOU Rugby,Montpellier Hérault Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j26/8284-lyon-montpellier,0
2017-2018,26,8285,Paris La Défense Arena,Racing 92,SU Agen,https://top14.lnr.fr/feuille-de-match/2017-2018/j26/8285-racing-92-agen,0
2017-2018,26,8286,Stade du Hameau,Section Paloise,RC Toulon,https://top14.lnr.fr/feuille-de-match/2017-2018/j26/8286-pau-toulon,0
2017-2018,26,8287,Stade Marcel-Deflandre,Stade Rochelais,Stade Français Paris,https://top14.lnr.fr/feuille-de-match/2017-2018/j26/8287-la-rochelle-paris,0
2018-2019,1,8541,Stade Aimé-Giral,USA Perpignan,Stade Français Paris,https://top14.lnr.fr/feuille-de-match/2018-2019/j1/8541-perpignan-paris,0
2018-2019,1,8542,Stade Marcel-Michelin,ASM Clermont,SU Agen,https://top14.lnr.fr/feuille-de-match/2018-2019/j1/8542-clermont-agen,0
2018-2019,1,8543,Stade de Gerland,LOU Rugby,Stade Toulousain,https://top14.lnr.fr/feuille-de-match/2018-2019/j1/8543-lyon-toulouse,0
2018-2019,1,8544,Stade Marcel-Deflandre,Stade Rochelais,FC Grenoble Rugby,https://top14.lnr.fr/feuille-de-match/2018-2019/j1/8544-la-rochelle-grenoble,0
2018-2019,1,8545,Stade Chaban-Delmas,Union Bordeaux-Bègles,Section Paloise,https://top14.lnr.fr/feuille-de-match/2018-2019/j1/8545-bordeaux-begles-pau,0
2018-2019,1,8546,Stade Mayol,RC Toulon,Racing 92,https://top14.lnr.fr/feuille-de-match/2018-2019/j1/8546-toulon-racing-92,0
2018-2019,1,8547,GGL Stadium,Montpellier Hérault Rugby,Castres Olympique,https://top14.lnr.fr/feuille-de-match/2018-2019/j1/8547-montpellier-castres,0
2018-2019,2,8548,Stade du Hameau,Section Paloise,RC Toulon,https://top14.lnr.fr/feuille-de-match/2018-2019/j2/8548-pau-toulon,0
2018-2019,2,8549,Stade Pierre-Fabre,Castres Olympique,LOU Rugby,https://top14.lnr.fr/feuille-de-match/2018-2019/j2/8549-castres-lyon,0
2018-2019,2,8550,GGL Stadium,Montpellier Hérault Rugby,Stade Rochelais,https://top14.lnr.fr/feuille-de-match/2018-2019/j2/8550-montpellier-la-rochelle,0
2018-2019,2,8551,Stade Jean-Bouin,Stade Français Paris,Union Bordeaux-Bègles,https://top14.lnr.fr/feuille-de-match/2018-2019/j2/8551-paris-bordeaux-begles,0
2018-2019,2,8552,Stade des Alpes,FC Grenoble Rugby,Stade Toulousain,https://top14.lnr.fr/feuille-de-match/2018-2019/j2/8552-grenoble-toulouse,0
2018-2019,2,8553,Stade Armandie,SU Agen,USA Perpignan,https://top14.lnr.fr/feuille-de-match/2018-2019/j2/8553-agen-perpignan,0
2018-2019,2,8554,Paris La Défense Arena,Racing 92,ASM Clermont,https://top14.lnr.fr/feuille-de-match/2018-2019/j2/8554-racing-92-clermont,0
2018-2019,3,8555,Stade Chaban-Delmas,Union Bordeaux-Bègles,Montpellier Hérault Rugby,https://top14.lnr.fr/feuille-de-match/2018-2019/j3/8555-bordeaux-begles-montpellier,0
2018-2019,3,8556,Stade Ernest-Wallon,Stade Toulousain,Stade Rochelais,https://top14.lnr.fr/feuille-de-match/2018-2019/j3/8556-toulouse-la-rochelle,0
2018-2019,3,8557,Paris La Défense Arena,Racing 92,SU Agen,https://top14.lnr.fr/feuille-de-match/2018-2019/j3/8557-racing-92-agen,0
2018-2019,3,8558,Stade Aimé-Giral,USA Perpignan,LOU Rugby,https://top14.lnr.fr/feuille-de-match/2018-2019/j3/8558-perpignan-lyon,0
2018-2019,3,8559,Stade Marcel-Michelin,ASM Clermont,Stade Français Paris,https://top14.lnr.fr/feuille-de-match/2018-2019/j3/8559-clermont-paris,0
2018-2019,3,8560,Stade des Alpes,FC Grenoble Rugby,Section Paloise,https://top14.lnr.fr/feuille-de-match/2018-2019/j3/8560-grenoble-pau,0
2018-2019,3,8561,Stade Mayol,RC Toulon,Castres Olympique,https://top14.lnr.fr/feuille-de-match/2018-2019/j3/8561-toulon-castres,0
2018-2019,4,8562,Stade de Gerland,LOU Rugby,Montpellier Hérault Rugby,https://top14.lnr.fr/feuille-de-match/2018-2019/j4/8562-lyon-montpellier,0
2018-2019,4,8563,Stade Pierre-Fabre,Castres Olympique,FC Grenoble Rugby,https://top14.lnr.fr/feuille-de-match/2018-2019/j4/8563-castres-grenoble,0
2018-2019,4,8564,Stade du Hameau,Section Paloise,ASM Clermont,https://top14.lnr.fr/feuille-de-match/2018-2019/j4/8564-pau-clermont,0
2018-2019,4,8565,Stade Armandie,SU Agen,Union Bordeaux-Bègles,https://top14.lnr.fr/feuille-de-match/2018-2019/j4/8565-agen-bordeaux-begles,0
2018-2019,4,8566,Stade Ernest-Wallon,Stade Toulousain,Racing 92,https://top14.lnr.fr/feuille-de-match/2018-2019/j4/8566-toulouse-racing-92,0
2018-2019,4,8567,Stade Marcel-Deflandre,Stade Rochelais,USA Perpignan,https://top14.lnr.fr/feuille-de-match/2018-2019/j4/8567-la-rochelle-perpignan,0
2018-2019,4,8568,Stade Jean-Bouin,Stade Français Paris,RC Toulon,https://top14.lnr.fr/feuille-de-match/2018-2019/j4/8568-paris-toulon,0
2018-2019,5,8569,Stade Chaban-Delmas,Union Bordeaux-Bègles,ASM Clermont,https://top14.lnr.fr/feuille-de-match/2018-2019/j5/8569-bordeaux-begles-clermont,0
2018-2019,5,8570,Stade des Alpes,FC Grenoble Rugby,USA Perpignan,https://top14.lnr.fr/feuille-de-match/2018-2019/j5/8570-grenoble-perpignan,0
2018-2019,5,8571,Stade Mayol,RC Toulon,SU Agen,https://top14.lnr.fr/feuille-de-match/2018-2019/j5/8571-toulon-agen,0
2018-2019,5,8572,Stade Marcel-Deflandre,Stade Rochelais,LOU Rugby,https://top14.lnr.fr/feuille-de-match/2018-2019/j5/8572-la-rochelle-lyon,0
2018-2019,5,8573,Paris La Défense Arena,Racing 92,Castres Olympique,https://top14.lnr.fr/feuille-de-match/2018-2019/j5/8573-racing-92-castres,0
2018-2019,5,8574,Stade du Hameau,Section Paloise,Stade Français Paris,https://top14.lnr.fr/feuille-de-match/2018-2019/j5/8574-pau-paris,0
