first_name,last_name,nationality,player_url,2017-2018_team,2017-2018_avg_min,2018-2019_team,2018-2019_avg_min,2021-2022_team,2021-2022_avg_min,2022-2023_team,2022-2023_avg_min,2023-2024_team,2023-2024_avg_min,2024-2025_team,2024-2025_avg_min
Mahamadou,DIABY,France,https://top14.lnr.fr/joueur/323-mahamadou-diaby,,,,,,,,,,,,
Jefferson,POIROT,France,https://top14.lnr.fr/joueur/329-jefferson-poirot,,,,,,,,,,,,
Nans,DUCUING,France,https://top14.lnr.fr/joueur/330-nans-ducuing,,,,,,,,,,,,
Maxime,LUCU,France,https://top14.lnr.fr/joueur/331-maxime-lucu,,,,,,,,,,,,
Zack,HOLMES,Grande-Bretagne,https://top14.lnr.fr/joueur/334-zack-holmes,,,,,,,,,,,,
Bastien,VERGNES TAILLEFER,France,https://top14.lnr.fr/joueur/335-bastien-vergnes-taillefer,,,,,,,,,,,,
Tani,VILI,France,https://top14.lnr.fr/joueur/336-tani-vili,,,,,,,,,,,,
Benjamin,TAMEIFUNA,Nouvelle Zélande,https://top14.lnr.fr/joueur/340-benjamin-tameifuna,,,,,,,,,,,,
Jules,GIMBERT,France,https://top14.lnr.fr/joueur/348-jules-gimbert,,,,,,,,,,,,
Maxime,LAMOTHE,France,https://top14.lnr.fr/joueur/349-maxime-lamothe,,,,,,,,,,,,
Santiago,CORDERO POCIELLO-ARGERICH,Espagne,https://top14.lnr.fr/joueur/351-santiago-cordero-pociello-argerich,,,,,,,,,,,,
Lenny,VIOLA,France,https://top14.lnr.fr/joueur/3522-lenny-viola,,,,,,,,,,,,
Jonathan,RURU,Nouvelle Zélande,https://top14.lnr.fr/joueur/3582-jonathan-ruru,,,,,,,,,,,,
Marco,ZANON,Italie,https://top14.lnr.fr/joueur/3595-marco-zanon,,,,,,,,,,,,
Pietro,CECCARELLI,France,https://top14.lnr.fr/joueur/398-pietro-ceccarelli,,,,,,,,,,,,
Vasil,LOBZHANIDZE,Géorgie,https://top14.lnr.fr/joueur/399-vasil-lobzhanidze,,,,,,,,,,,,
Andrès,ZAFRA TARAZONA,France,https://top14.lnr.fr/joueur/400-andres-zafra-tarazona,,,,,,,,,,,,
Joris,JURAND,France,https://top14.lnr.fr/joueur/402-joris-jurand,,,,,,,,,,,,
Retief,MARAIS,Afrique du Sud,https://top14.lnr.fr/joueur/403-retief-marais,,,,,,,,,,,,
Florian,DUFOUR,France,https://top14.lnr.fr/joueur/409-florian-dufour,,,,,,,,,,,,
Paul,ABADIE,France,https://top14.lnr.fr/joueur/415-paul-abadie,,,,,,,,,,,,
Thomas,LARANJEIRA,France,https://top14.lnr.fr/joueur/417-thomas-laranjeira,,,,,,,,,,,,
Setareki,BITUNIYATA,Fidji,https://top14.lnr.fr/joueur/426-setareki-bituniyata,,,,,,,,,,,,
Enzo,HERVE,France,https://top14.lnr.fr/joueur/427-enzo-herve,,,,,,,,,,,,
Setariki,TUICUVU,Fidji,https://top14.lnr.fr/joueur/429-setariki-tuicuvu,,,,,,,,,,,,
Guillaume,GALLETIER,France,https://top14.lnr.fr/joueur/430-guillaume-galletier,,,,,,,,,,,,
Esteban,ABADIE,France,https://top14.lnr.fr/joueur/431-esteban-abadie,,,,,,,,,,,,
Daniel,BRENNAN,Irlande,https://top14.lnr.fr/joueur/432-daniel-brennan,,,,,,,,,,,,
Nicolaas Jacobus,LEE,Afrique du Sud,https://top14.lnr.fr/joueur/444-nicolaas-jacobus-lee,,,,,,,,,,,,
Stuart,OLDING,Irlande,https://top14.lnr.fr/joueur/451-stuart-olding,,,,,,,,,,,,
Luka,JAPARIDZE,Géorgie,https://top14.lnr.fr/joueur/454-luka-japaridze,,,,,,,,,,,,
Tevita Kasikasi,RATUVA,Fidji,https://top14.lnr.fr/joueur/460-tevita-kasikasi-ratuva,,,,,,,,,,,,
Soso,BEKOSHVILI,Géorgie,https://top14.lnr.fr/joueur/495-soso-bekoshvili,,,,,,,,,,,,
Raphael,CARBOU,France,https://top14.lnr.fr/joueur/501-raphael-carbou,,,,,,,,,,,,
William,DEMOTTE,France,https://top14.lnr.fr/joueur/51-william-demotte,,,,,,,,,,,,
Samuel,MARQUES,France,https://top14.lnr.fr/joueur/513-samuel-marques,,,,,,,,,,,,
Mathieu,LAMOULIE,France,https://top14.lnr.fr/joueur/53-mathieu-lamoulie,,,,,,,,,,,,
Paula Mark,NGAUAMO,Nouvelle Zélande,https://top14.lnr.fr/joueur/586-paula-mark-ngauamo,,,,,,,,,,,,
Timilaï,ROKODURU,Fidji,https://top14.lnr.fr/joueur/59-timilai-rokoduru,,,,,,,,,,,,
Quentin,WALCKER,France,https://top14.lnr.fr/joueur/592-quentin-walcker,,,,,,,,,,,,
Vincent,FARRE,France,https://top14.lnr.fr/joueur/61-vincent-farre,,,,,,,,,,,,
Giorgi,BERIA,France,https://top14.lnr.fr/joueur/662-giorgi-beria,,,,,,,,,,,,
Sebastien,BEZY,France,https://top14.lnr.fr/joueur/669-sebastien-bezy,,,,,,,,,,,,
Judicael,CANCORIET,France,https://top14.lnr.fr/joueur/675-judicael-cancoriet,,,,,,,,,,,,
Julien,HERITEAU,France,https://top14.lnr.fr/joueur/685-julien-heriteau,,,,,,,,,,,,
Jacobus,VAN TONDER,Afrique du Sud,https://top14.lnr.fr/joueur/693-jacobus-van-tonder,,,,,,,,,,,,
Bautista,DELGUY,Argentine,https://top14.lnr.fr/joueur/712-bautista-delguy,,,,,,,,,,,,
Morgan,PHELIPPONNEAU,France,https://top14.lnr.fr/joueur/7131-morgan-phelipponneau,,,,,,,,,,,,
Hikawera Te Po,ELLIOT,Nouvelle Zélande,https://top14.lnr.fr/joueur/751-hikawera-te-po-elliot,,,,,,,,,,,,
Virimi,VAKATAWA,France,https://top14.lnr.fr/joueur/7798-virimi-vakatawa,,,,,,,,,,,,
Benjamin,BOTICA,Grande-Bretagne,https://top14.lnr.fr/joueur/808-benjamin-botica,,,,,,,,,,,,
Yassin,BOUTEMMANI,France,https://top14.lnr.fr/joueur/812-yassin-boutemmani,,,,,,,,,,,,
Khatchik,VARTAN,France,https://top14.lnr.fr/joueur/820-khatchik-vartan,,,,,,,,,,,,
Matthieu,UGALDE,France,https://top14.lnr.fr/joueur/824-matthieu-ugalde,,,,,,,,,,,,
Zack,GAUTHIER,France,https://top14.lnr.fr/joueur/859-zack-gauthier,,,,,,,,,,,,
Leonardo,GHIRALDINI,Italie,https://top14.lnr.fr/joueur/8606-leonardo-ghiraldini,,,,,,,,,,,,
Steven Robert,SYKES,Afrique du Sud,https://top14.lnr.fr/joueur/8608-steven-robert-sykes,,,,,,,,,,,,
Victor,VITO,Nouvelle Zélande,https://top14.lnr.fr/joueur/8674-victor-vito,,,,,,,,,,,,
Paul,JORDAAN,Afrique du Sud,https://top14.lnr.fr/joueur/8746-paul-jordaan,,,,,,,,,,,,
Hugo,TROUILLOUD,France,https://top14.lnr.fr/joueur/877-hugo-trouilloud,,,,,,,,,,,,
Curtis,BROWNING,Australie,https://top14.lnr.fr/joueur/8792-curtis-browning,,,,,,,,,,,,
Antonin,BERRUYER,France,https://top14.lnr.fr/joueur/883-antonin-berruyer,,,,,,,,,,,,
Sootala,FA'ASO'O,Nouvelle Zélande,https://top14.lnr.fr/joueur/8831-sootala-faasoo,,,,,,,,,,,,
Thomas,LAINAULT,France,https://top14.lnr.fr/joueur/888-thomas-lainault,,,,,,,,,,,,
Sila Ki Vai,PUAFISI,Tonga,https://top14.lnr.fr/joueur/8887-sila-ki-vai-puafisi,,,,,,,,,,,,
Eric,ESCANDE,France,https://top14.lnr.fr/joueur/893-eric-escande,,,,,,,,,,,,
Alexi,BALES,France,https://top14.lnr.fr/joueur/8931-alexi-bales,,,,,,,,,,,,
Enrico,JANUARIE,Afrique du Sud,https://top14.lnr.fr/joueur/8939-enrico-januarie,,,,,,,,,,,,
Julien,FARNOUX,France,https://top14.lnr.fr/joueur/894-julien-farnoux,,,,,,,,,,,,
Sisaro Datu,KOYAMAIBOLE,Fidji,https://top14.lnr.fr/joueur/8979-sisaro-datu-koyamaibole,,,,,,,,,,,,
Talalelei,GRAY,Samoa américain,https://top14.lnr.fr/joueur/905-talalelei-gray,,,,,,,,,,,,
Gabriel,LACROIX,France,https://top14.lnr.fr/joueur/9057-gabriel-lacroix,,,,,,,,,,,,
Pio,MUARUA,Fidji,https://top14.lnr.fr/joueur/906-pio-muarua,,,,,,,,,,,,
Takudzwa,NGWENYA,Zimbabwe,https://top14.lnr.fr/joueur/9080-takudzwa-ngwenya,,,,,,,,,,,,
Berend,BOTHA,Afrique du Sud,https://top14.lnr.fr/joueur/9083-berend-botha,,,,,,,,,,,,
Karlen,ASIESHVILI,Géorgie,https://top14.lnr.fr/joueur/9085-karlen-asieshvili,,,,,,,,,,,,
Brock,JAMES,France,https://top14.lnr.fr/joueur/9112-brock-james,,,,,,,,,,,,
Victor,GUILLAUMOND,France,https://top14.lnr.fr/joueur/913-victor-guillaumond,,,,,,,,,,,,
Alifeleti,MAFI,Tonga,https://top14.lnr.fr/joueur/9138-alifeleti-mafi,,,,,,,,,,,,
Wilfried,HULLEU,France,https://top14.lnr.fr/joueur/916-wilfried-hulleu,,,,,,,,,,,,
Romain,TROUILLOUD,France,https://top14.lnr.fr/joueur/918-romain-trouilloud,,,,,,,,,,,,
Zeno,KIEFT,Pays-Bas,https://top14.lnr.fr/joueur/9187-zeno-kieft,,,,,,,,,,,,
Romain,FUSIER,France,https://top14.lnr.fr/joueur/919-romain-fusier,,,,,,,,,,,,
Jefferson Lee,JOSEPH,France,https://top14.lnr.fr/joueur/92-jefferson-lee-joseph,,,,,,,,,,,,
Petrus,HAUMAN,Afrique du Sud,https://top14.lnr.fr/joueur/9236-petrus-hauman,,,,,,,,,,,,
Lilian,ROSSI,France,https://top14.lnr.fr/joueur/925-lilian-rossi,,,,,,,,,,,,
Gert,MULLER,Afrique du Sud,https://top14.lnr.fr/joueur/9257-gert-muller,,,,,,,,,,,,
Thibaut,MARTEL,France,https://top14.lnr.fr/joueur/926-thibaut-martel,,,,,,,,,,,,
Mathis,SARRAGALLET,France,https://top14.lnr.fr/joueur/929-mathis-sarragallet,,,,,,,,,,,,
Arnaud,MIGNARDI,France,https://top14.lnr.fr/joueur/9290-arnaud-mignardi,,,,,,,,,,,,
Maxime,MEDARD,France,https://top14.lnr.fr/joueur/9291-maxime-medard,,,,,,,,,,,,
Aleksandre,KUNTELIA,Géorgie,https://top14.lnr.fr/joueur/935-aleksandre-kuntelia,,,,,,,,,,,,
Mike,CORBEL,France,https://top14.lnr.fr/joueur/9357-mike-corbel,,,,,,,,,,,,
Nathan,BOLLENGIER,France,https://top14.lnr.fr/joueur/938-nathan-bollengier,,,,,,,,,,,,
Simon,HUCHET,France,https://top14.lnr.fr/joueur/940-simon-huchet,,,,,,,,,,,,
Francois,DA ROS,France,https://top14.lnr.fr/joueur/9417-francois-da-ros,,,,,,,,,,,,
Samuel,DAVIES,Grande-Bretagne,https://top14.lnr.fr/joueur/9423-samuel-davies-1,,,,,,,,,,,,
David,ROUMIEU,France,https://top14.lnr.fr/joueur/9439-david-roumieu,,,,,,,,,,,,
Luc,MOUSSET,France,https://top14.lnr.fr/joueur/9458-luc-mousset,,,,,,,,,,,,
Sacha,IDOUMI,France,https://top14.lnr.fr/joueur/947-sacha-idoumi,,,,,,,,,,,,
Hugo,REUS,France,https://top14.lnr.fr/joueur/949-hugo-reus,,,,,,,,,,,,
Ultan,DILLANE,Irlande,https://top14.lnr.fr/joueur/950-ultan-dillane,,,,,,,,,,,,
Jone,QOVU NAILIKO,Fidji,https://top14.lnr.fr/joueur/9505-jone-qovu-nailiko,,,,,,,,,,,,
Jack,NOWELL,Angleterre,https://top14.lnr.fr/joueur/954-jack-nowell,,,,,,,,,,,,
Louis Benoit,MADAULE,France,https://top14.lnr.fr/joueur/9540-louis-benoit-madaule,,,,,,,,,,,,
Dominiko,WAQANIBUROTU,Fidji,https://top14.lnr.fr/joueur/9574-dominiko-waqaniburotu,,,,,,,,,,,,
Tommaso,ALLAN,Italie,https://top14.lnr.fr/joueur/9603-tommaso-allan,,,,,,,,,,,,
Hoani,BOSMORIN,France,https://top14.lnr.fr/joueur/964-hoani-bosmorin,,,,,,,,,,,,
Dug,CODJO,France,https://top14.lnr.fr/joueur/9649-dug-codjo,,,,,,,,,,,,
Joël Antonio,SCLAVI,Argentine,https://top14.lnr.fr/joueur/970-joel-antonio-sclavi,,,,,,,,,,,,
Seremaia Nakala,BUROTU,Fidji,https://top14.lnr.fr/joueur/9712-seremaia-nakala-burotu,,,,,,,,,,,,
Yohan,VIVALDA,France,https://top14.lnr.fr/joueur/9734-yohan-vivalda,,,,,,,,,,,,
Yoan,TANGA MANGENE,France,https://top14.lnr.fr/joueur/975-yoan-tanga-mangene,,,,,,,,,,,,
Nicolas,BEZY,France,https://top14.lnr.fr/joueur/9754-nicolas-bezy,,,,,,,,,,,,
Tawera,KERR BARLOW,Nouvelle Zélande,https://top14.lnr.fr/joueur/981-tawera-kerr-barlow,,,,,,,,,,,,
Masalosalo,TUTAIA,Nouvelle Zélande,https://top14.lnr.fr/joueur/9811-masalosalo-tutaia,,,,,,,,,,,,
Thierry,PAIVA,France,https://top14.lnr.fr/joueur/984-thierry-paiva,,,,,,,,,,,,
Levani Botia,VEIVUKE,Fidji,https://top14.lnr.fr/joueur/985-levani-botia-veivuke,,,,,,,,,,,,
Maurie,FAASAVALU,Angleterre,https://top14.lnr.fr/joueur/9858-maurie-faasavalu,,,,,,,,,,,,
Quentin,LESPIAUCQ,France,https://top14.lnr.fr/joueur/986-quentin-lespiaucq,,,,,,,,,,,,
Teddy,THOMAS,France,https://top14.lnr.fr/joueur/987-teddy-thomas,,,,,,,,,,,,
Ulupano,SEUTENI,Australie,https://top14.lnr.fr/joueur/988-ulupano-seuteni,,,,,,,,,,,,
Daniel Mark,RAMSAY,Nouvelle Zélande,https://top14.lnr.fr/joueur/9889-daniel-mark-ramsay,,,,,,,,,,,,
Simon Christian,NJEWEL,Cameroun,https://top14.lnr.fr/joueur/9893-simon-christian-njewel,,,,,,,,,,,,
Poutasi,LUAFUTU,Samoa américain,https://top14.lnr.fr/joueur/9907-poutasi-luafutu,,,,,,,,,,,,
Rémi,PICQUETTE,France,https://top14.lnr.fr/joueur/994-remi-picquette,,,,,,,,,,,,
Damien,LAGRANGE,France,https://top14.lnr.fr/joueur/9941-damien-lagrange,,,,,,,,,,,,
Romain,SAZY,France,https://top14.lnr.fr/joueur/996-romain-sazy,,,,,,,,,,,,
Antoine,HASTOY,France,https://top14.lnr.fr/joueur/997-antoine-hastoy,,,,,,,,,,,,
Eneriko,BULIRUARUA,Fidji,https://top14.lnr.fr/joueur/2632-eneriko-buliruarua,,,,,,,,,,,,
