season_name,start_date,end_date,venue_round_28,venue_round_29,rounds_european_congestion
2021-2022,2021-09-04,2022-06-24,Allianz Riviera,Stade de France,
2022-2023,2022-09-03,2023-06-17,Reale Arena,Stade de France,
2023-2024,2023-08-18,2024-06-26,Stade Matmut-Atlantique,Orange Velodrome,
2024-2025,2024-09-07,2025-06-28,Parc OL,Stade de France,
2025-2026,2025-09-06,2026-06-27,Orange Velodrome,Stade de France,
